brand,category,WB_ID,name,article,skus,price,discount,discountedPrice,clubDiscount,clubDiscountedPrice,spp,wb_price,personal_discount,personal_price,cost_price,profit,"markup, %"
PARFUMS CONSTANTINE,Туалетная вода,12190430,"Духи мужские стойкие древесные Gentleman 2, 100 мл",INTERSHL000002,"['4603720462026', '4605994031410']",4000,62,1520,1,1504.8,32,1016.0,7.0,944.0,215.0,1289.8,700
PARFUMS CONSTANTINE,Туалетная вода,12190429,"Духи мужские стойкие древесные Gentleman 1, 100 мл",INTERSHL000001,"['4603720462019', '4605994031403']",4000,63,1480,1,1465.2,32,990.0,7.0,920.0,219.0,1246.2,669
PARFUMS CONSTANTINE,Туалетная вода,12190433,"Духи мужские фужерные стойкие Gentleman 5, 100 мл",INTERSHL000006,"['4603720462057', '4604094037193']",4000,63,1480,1,1465.2,32,990.0,7.0,920.0,213.0,1252.2,688
PARFUMS CONSTANTINE,Туалетная вода,12190440,"Духи мужские цветочные стойкие Gentleman 3, 100 мл",PARFCONS000001,"['4603720462033', '4605994031427']",4000,63,1480,1,1465.2,32,990.0,7.0,920.0,201.0,1264.2,729
PARFUMS CONSTANTINE,Туалетная вода,12190431,"Духи мужские цитрусовые стойкие Gentleman 4, 100 мл",INTERSHL000004,"['4603720462040', '4605994031434']",4000,62,1520,1,1504.8,32,1016.0,7.0,944.0,211.0,1293.8,713
PARFUMS CONSTANTINE,Туалетная вода,12190442,"Духи мужские стойкие шипровые Gentleman 7, 100 мл",PARFCONS000003,"['4603720462408', '4604094030866']",4000,65,1400,1,1386.0,32,936.0,7.0,870.0,224.0,1162.0,619
PARFUMS CONSTANTINE,Туалетная вода,506075389,"Женская парфюмерная вода сладкая La Mia Verona, 10мл",PCLM000007,['4607817712384'],2500,60,1000,0,1000.0,33,669.0,7.0,622.0,113.0,887.0,885
PARFUMS CONSTANTINE,Туалетная вода,506063601,"Женская парфюмерная вода свежая La Mia Venezia, 10мл",PCLM000008,['4607817712377'],2500,60,1000,0,1000.0,33,669.0,7.0,622.0,118.0,882.0,847
PARFUMS CONSTANTINE,Туалетная вода,506059140,"Женская парфюмерная вода цитрусовая La Mia Roma, 10мл",PCLM000010,['4607817712360'],2500,60,1000,0,1000.0,33,669.0,7.0,622.0,118.0,882.0,847
PARFUMS CONSTANTINE,Туалетная вода,506048351,"Женская парфюмерная вода цветочная La Mia Firenze, 10мл",PCLM000009,['4607817712353'],2500,60,1000,0,1000.0,33,669.0,7.0,622.0,118.0,882.0,847
PARFUMS CONSTANTINE,Туалетная вода,490444931,"Парфюмерная вода для мужчин SELECTIVE Royal Chypre, 60мл",SELECTIV000001,['4607817710816'],14000,55,6300,0,6300.0,33,4214.0,7.0,3919.0,632.0,5668.0,997
PARFUMS CONSTANTINE,Туалетная вода,490421317,"Парфюмерная вода для мужчин SELECTIVE Ice Essence, 60мл",SELECTIV000003,['4607817710830'],14000,55,6300,0,6300.0,33,4214.0,7.0,3919.0,602.0,5698.0,1047
PARFUMS CONSTANTINE,Туалетная вода,490439332,"Парфюмерная вода для мужчин SELECTIVE Amber wood, 60мл",SELECTIV000005,['4607817710946'],14000,55,6300,0,6300.0,33,4214.0,7.0,3919.0,562.0,5738.0,1121
PARFUMS CONSTANTINE,Туалетная вода,490417030,"Парфюмерная вода для мужчин SELECTIVE Spicy Tobacco, 60мл",SELECTIV000002,['4607817710823'],14000,55,6300,0,6300.0,33,4214.0,7.0,3919.0,657.0,5643.0,959
PARFUMS CONSTANTINE,Туалетная вода,490414294,"Парфюмерная вода для мужчин SELECTIVE Elegant fougere, 60мл",SELECTIV000004,['4607817710939'],14000,55,6300,0,6300.0,33,4214.0,7.0,3919.0,639.0,5661.0,986
PARFUMS CONSTANTINE,Туалетная вода,490410459,"Парфюмерная вода для мужчин SELECTIVE Smoky Leather, 60мл",SELECTIV000006,['4607817710953'],14000,55,6300,0,6300.0,33,4214.0,7.0,3919.0,609.0,5691.0,1034
,Туалетная вода,23791013,"Духи женские цитрусовые свежие New York NINE, 50 мл",ELOR62361,['4603720462361'],2000,59,820,1,811.8,32,548.0,7.0,509.0,141.0,670.8,576
,Туалетная вода,23791012,"Духи женские сладкие со шлейфом New York EIGHT, 50 мл",ELOR62354,['4603720462354'],2000,62,760,1,752.4,32,508.0,7.0,472.0,133.78,618.62,562
,Туалетная вода,23791016,"Духи женские свежие со шлейфом New York TWELVE, 50 мл",ELOR62392,['4603720462392'],2000,60,800,1,792.0,32,535.0,7.0,497.0,121.0,671.0,655
,Туалетная вода,23791015,"Духи женские фужерные свежие New York ELEVEN, 50 мл",ELOR62385,['4603720462385'],2000,62,760,1,752.4,32,508.0,7.0,472.0,125.0,627.4,602
,Туалетная вода,23791011,"Духи женские со шлейфом сирень New York SEVEN, 50 мл",ELOR62347,['4603720462347'],2000,58,840,1,831.6,33,561.0,7.0,521.0,120.0,711.6,693
,Туалетная вода,23791010,"Духи женские восточные со шлейфом New York SIX, 50 мл",ELOR62330,['4603720462330'],2000,63,740,1,732.6,32,495.0,7.0,460.0,123.0,609.6,596
,Туалетная вода,23791009,"Духи женские восточные стойкие New York FIVE, 50 мл",ELOR62323,['4603720462323'],2000,63,740,1,732.6,32,495.0,7.0,460.0,113.0,619.6,648
,Туалетная вода,23791008,"Духи женские со шлейфом императрица New York FOUR, 50 мл",ELOR62316,['4603720462316'],2000,62,760,1,752.4,32,508.0,7.0,472.0,142.3,610.1,529
,Туалетная вода,23791007,"Духи женские фруктовые стойкие New York THREE, 50 мл",ELOR62309,['4603720462309'],2000,62,760,1,752.4,32,508.0,7.0,472.0,129.85,622.55,579
,Туалетная вода,23791006,"Духи женские тропические со шлейфом New York TWO, 50 мл",ELOR62293,['4603720462293'],2000,63,740,1,732.6,32,495.0,7.0,460.0,150.0,582.6,488
,Туалетная вода,23791005,"Духи женские цветочные стойкие New York ONE, 50 мл",ELOR62286,['4603720462286'],2000,62,760,1,752.4,32,508.0,7.0,472.0,146.16,606.24,515
